Mã ICD,Tên bệnh
T95.3,di chứng bỏng ăn mòn và tổn thương do cóng lạnh tại chi dưới
V79.1,người đi xe bị thương khi va chạm với xe có động cơ khác không rõ đặc điểm không phải do tai nạn giao thông
V79.2,người trên xe buýt bus không rõ đặc điểm bị thương khi va chạm với xe động cơ khác không rõ đặc điểm không phải do tai nạn giao thông
V79.3,người trên xe buýt bus bị thương không do tai nạn giao thông không rõ đặc điểm
V79.4,lái xe bị thương trong va chạm với xe động cơ không rõ đặc điểm khác trong tai nạn giao thông
V79.5,người đi xe bị thương trong va chạm với xe động cơ không rõ đặc điểm khác trong tai nạn giao thông
V79.6,người trên xe buýt bus không rõ đặc điểm bị thương khi va chạm với xe động cơ không rõ đặc điểm khác trong tai nạn giao thông
V79.8,người trên xe buýt bus bị thương trong tai nạn giao thông có biết đặc điểm
V79.9,người trên xe buýt bus bị thương trong tai nạn giao thông không rõ đặc điểm
V80,người cưỡi súc vật hay người trên xe súc vật kéo bị thương trong tngt
V80.0,người cưỡi súc vật hay người trên xe bị thương do ngã từ hay ném đi từ súc vật hay xe súc vật kéo trong tai nạn không có va chạm
V80.1,người cưỡi súc vật hay người trên xe bị thương do va chạm với người đi bộ hay súc vật
V80.2,người cưỡi súc vật hay người trên xe bị thương do va chạm với xe đạp
Z25,cần tiêm chủng phòng các bệnh virus khác
Z25.0,tiêm chủng phòng quai bị đơn độc
Z25.1,tiêm chủng phòng bệnh cúm
Z25.8,tiêm chủng phòng các bệnh virus đơn độc xác định khác
Z26,cần tiêm chủng phòng các bệnh nhiễm khuẩn đơn độc khác
Z26.0,tiêm chủng phòng lesmania
Z26.8,tiêm chủng phòng các bệnh nhiễm khuẩn đơn độc xác định khác
Z26.9,tiêm chủng phòng các bệnh nhiễm khuẩn không xác định
Z27,cần tiêm chủng phòng các bệnh nhiễm khuẩn phối hợp
Z27.0,tiêm chủng phòng tả kèm theo thương hàn phó thương hàn tả tab
Z27.1,tiêm chủng phòng bạch hầu uốn ván ho gà phối hợp dtp
Z27.2,tiêm chủng phòng bạch hầu uốn ván ho gà kèm theo thương hàn phó thương hàn dpt tab
Z27.3,tiêm chủng phòng bạch hầu uốn ván ho gà kèm bại liệt dpt bại liệt
Z27.4,tiêm chủng phòng sởi quai bị rubêôn mmr
Z27.8,tiêm chủng phòng các bệnh nhiễm khuẩn phối hợp khác
Z27.9,tiêm chủng phòng các bệnh nhiễm khuẩn phối hợp không đặc hiệu khác
Z28,chưa tiêm chủng
T95.4,di chứng bỏng ăn mòn xếp loại chỉ phụ thuộc phạm vi bề mặt cơ thể tổn thương
T95.8,di chứng bỏng ăn mòn và tổn thương do cóng lạnh khác đã xác định
T95.9,di chứng bỏng ăn mòn và tổn thương do cóng lạnh chưa xác định
T96,di chứng nhiễm độc thuốc dược phẩm và chất sinh học
T97,di chứng có tác động độc của chất nguồn chủ yếu không phải dược phẩm
T98,di chứng do tác động khác và chưa xác định của các nguyên nhân từ bên ngoài
T98.0,di chứng do tác động của dị vật vào qua lỗ tự nhiên
T98.1,di chứng do tác động khác và chưa xác định căn nguyên bên ngoài
T98.2,di chứng của một vài biến chứng sớm của chấn thương
T98.3,di chứng biến chứng phẫu thuật và chăm sóc y tế không xếp loại ở phần khác
V01,người đi bộ bị thương do va chạm với xe đạp
V02,người đi bộ bị thương do va chạm với xe mô tô 2 3 bánh
V03,người đi bộ bị thương do va chạm với ô tô xe tải thu nhặt xe tải
V04,người đi bộ bị thương do va chạm với xe tải hạng nặng xe buýt
V05,người đi bộ bị thương do va chạm với tầu hỏa ô tô ray
V06,người đi bộ bị thương do va chạm với xe không động cơ khác
V09,nđb bị thương trong những tai nạn tn xe cộ khác không xác định
V09.0,người đi bộ bị thương trong tai nạn không phải xe cộ bao gồm xe có động khác và không xác định
V09.1,người đi bộ bị thương trong tai nạn không phải xe cộ không xác định
V09.2,người đi bộ bị thương do tai nạn giao thông có sự tham gia của xe có động cơ khác không xác định
V09.3,người đi bộ bị thương trong tai nạn giao thông không xác định
V09.9,người đi bộ bị thương trong tai nạn giao thông không xác định
V10,người đi xe đạp bị thương vì va chạm với người đi bộ hay súc vật
V11,người đi xe đạp bị thương khi va chạm với người đạp xe đạp khác
V12,người đi xe đạp bị thương do va chạm với mô tô 2 3 bánh
V13,người đi xe đạp bị thương khi va chạm với ô tô xe tải thu góp và xe tải
V14,người đi xe đạp bị thương khi va chạm với xe tải hay xe buýt
V15,người đi xe đạp bị thương khi va chạm với tầu hỏa ô tô ray
V16,người đi xe đạp bị thương khi va chạm với xe không động cơ khác
V17,người đi xe đạp bị thương khi va chạm với vật cố định hay tĩnh vật
V18,người đi xe đạp bị thương trong tai nạn xe cộ không có va chạm
Z28.0,chưa tiêm chủng do chống chỉ định
Z28.1,chưa tiêm chủng do người bệnh chưa quyết định vì lòng tin hay áp lực của nhóm
Z28.2,chưa tiêm chủng do người bệnh chưa quyết định và những lý do không xác định khác
Z28.8,chưa tiêm chủng vì những lý do không xác định
Z28.9,chưa tiêm chủng vì lý do không xác định
Z29,cần có các biện pháp phòng bệnh khác
Z29.0,cách ly
Z29.1,miễn dịch liệu pháp dự phòng
Z29.2,hóa trị liệu dự phòng khác
Z29.8,các biện pháp dự phòng đặc hiệu khác
Z29.9,biện pháp dự phòng không đặc hiệu
Z30,tránh thai
Z30.0,tư vấn tổng quát và lời khuyên về tránh thai
Z30.1,đặt dụng cụ tránh thai trong tử cung
Z30.2,triệt sản
Z30.3,hút kinh nguyệt
Z30.4,theo dõi sử dụng thuốc tránh thai
Z30.5,theo dõi dụng cụ tránh thai trong tử cung
Z30.8,quản lí tránh thai khác
Z30.9,quản lí tránh thai không đặc hiệu
Z31,quản lý sinh sản
Z31.0,tái tạo vòi trứng hay ống dẫn tinh sau khi dùng biện pháp triệt sản trước đó
Z31.1,thụ tinh nhân tạo
Z31.2,thụ tinh trong ống nghiệm
Z31.3,các phương pháp hỗ trợ sinh sản khác
Z31.4,thăm khám lượng giá và xét nghiệm sinh sản
Z31.5,tư vấn về gen
Z31.6,tư vấn tổng quát và lời khuyên về sinh sản
Z31.8,quản lí sinh sản khác
Z31.9,quản lý sinh sản không đặc hiệu
Z32,thăm khám và xét nghiệm xác định có thai
Z32.0,có thai chưa khẳng định
Z32.1,có thai đã được khẳng định
Z33,tình trạng có thai tình cờ
Z34,theo dõi thai bình thường
Z34.0,theo dõi thai bình thường lần đầu
Z34.8,theo dõi thai bình thường khác
Z34.9,theo dõi thai bình thường không đặc hiệu
Z35,theo dõi thai có nguy cơ cao
Z35.0,theo dõi thai phụ có tiền sử vô sinh
Z35.1,theo dõi thai phụ có tiền sử sảy thai
T73.8,tác động khác của thiếu hụt
T73.9,tác dụng thiếu hụt chưa xác định
T74,hội chứng đối xử sai trái
T74.0,sao nhãng hoặc từ bỏ
T74.1,lạm dụng thể lực
T74.2,lạm dụng tình dục
T74.3,lạm dụng tâm lý học
T74.8,hội chứng đối xử sai trái khác
T74.9,hội chứng đối xử sai trái chưa xác định
T75,tác động của các nguyên nhân bên ngoài khác
T75.0,tác động của tia chớp sét
T75.1,đuối và bị nhấn chìm không chết
T75.2,tác động của chấn động
T75.3,chuyển động gây bệnh
T75.4,tác động của dòng điện
T75.8,tác động đã xác định khác của căn nguyên bên ngoài
T78,tác động phụ không xếp loại ở nơi khác
T78.0,sốc phản vệ do phản ứng phụ của thực phẩm
T78.1,phản ứng phụ khác của thực phẩm không xếp loại ở nơi khác
T78.2,sốc phản vệ chưa xác định
T78.3,phù nề do rối loạn thần kinh huyết quản
T78.4,dị ứng chưa xác định
T78.8,tác dụng phụ khác không xếp loại ở nơi khác
T78.9,tác dụng phụ chưa xác định
T79,một vài biến chứng sớm của chấn thương không xếp loại ở nơi khác
T79.0,nghẽn mạch không khí chấn thương
T79.1,nghẽn mạch mỡ chấn thương
T79.2,chấn thương thứ phát và chảy máu tái phát
T79.3,nhiễm trùng vết thương sau chấn thương không xếp loại ở nơi khác
T79.4,sốc chấn thương
T79.5,vô niệu do chấn thương
T79.6,thiếu máu của cơ do chấn thương
T79.7,khí thũng do chấn thương
T79.8,biến chứng sớm khác của chấn thương
T79.9,biến chứng sớm chưa xác định của chấn thương
T80,biến chứng huyết quản sau tiêm truyền truyền máu và tiêm thuốc
T80.0,nghẽn mạch không khí sau tiêm truyền truyền máu và tiêm thuốc
T80.1,biến chứng huyết quản sau tiêm truyền truyền máu và tiêm thuốc
T80.2,nhiễm trùng sau tiêm truyền truyền máu và tiêm thuốc
T80.3,phản ứng tương tác abo
T80.4,phản ứng tương tác rh
V19,người đi xe đạp bị thương trong những tai nạn xe cộ khác không rõ đặc điểm
V19.0,người lái xe bị thương khi va chạm với xe động cơ khác không rõ đặc điểm trong tai nạn không phải do tai nạn giao thông
V19.1,hành khách bị thương khi va chạm với xe động cơ khác không rõ đặc điểm trong tai nạn không phải do giao thông
Y88,di chứng của chăm sóc ngoại khoa và nội khoa như là nguyên nhân bên ngoài
Y88.0,di chứng của tác dụng ngược lại của thuốc dược chất hay sinh chất dùng trong điều trị
Y88.1,di chứng trong rủi ro của bệnh nhân trong thủ thuật nội ngoại khoa
Y88.2,di chứng của tác dụng phụ liên quan đến sử dụng thiết bị y tế trong chẩn đoán và điều trị
Y88.3,di chứng của thủ thuật nội ngoại khoa coi như là nguyên nhân của phản ứng bất thường ở người bệnh hay biến chứng sau này mà không thấy rõ rủi ro trong lúc tiến hành thủ thuật
Y89,di chứng của các nguyên nhân bên ngoài khác
Y89.0,di chứng của can thiệp hợp pháp
Y89.1,di chứng của hoạt động chiến tranh
Y89.9,di chứng của nguyên nhân bên ngoài không xác định chính xác
Y90,bằng chứng liên quan đến rượu xác định bằng mức cồn trong máu
Y90.0,mức cồn trong máu dưới 20 mg 100 ml
Y90.1,mức cồn trong máu ở 20 39mg 100 ml
Y90.2,mức cồn trong máu ở 40 59mg 100 ml
Y90.3,mức cồn trong máu ở 60 79mg 100 ml
Y90.4,mức cồn trong máu ở 80 99mg 100 ml
Y90.5,mức cồn trong máu ở 100 119mg 100 ml
Y90.6,mức cồn trong máu ở 120 119mg 100 ml
Y90.7,mức cồn trong máu ở 220 239mg 100 ml
Y90.8,mức cồn trong máu ở 240mg ml hay hơn
Y90.9,có cồn trong máu không rõ mức độ
Y91,bằng chứng liên quan đến rượu xác định bằng mức độ nhiễm độc
Y91.0,nhiễm độc rượu nhẹ
Y91.1,nhiễm độc rượu trung bình
Y91.2,nhiễm độc rượu nặng
Y91.3,nhiễm độc rượu rất nặng
Y91.9,có liên quan đến rượu không đặc hiệu
Y95,điều kiện bệnh viện
Y96,điều kiện liên quan đến lao động
Y97,điều kiện liên quan đến ô nhiễm môi trường
Y98,điều kiện liên quan đến cách sống
Z00,khám tổng quát và kiểm tra sức khỏe cho những người không có điều gì than phiền về sức khỏe hoặc những người đã có chẩn đoán
Z35.2,theo dõi thai phụ có tiền sử chửa khó hoặc đẻ khó
Z35.3,theo dõi thai phụ có tiền sử chăm sóc trước sinh không đầy đủ
Z35.4,theo dõi thai với các bà mẹ đẻ nhiều lần
Z35.5,theo dõi thai lần đầu ở người nhiều tuổi
T80.5,sốc phản vệ do huyết thanh
T80.6,phản ứng huyết thanh khác
T80.8,biến chứng khác sau tiêm truyền truyền máu và tiêm thuốc
T80.9,biến chứng khác sau tiêm truyền truyền máu và tiêm thuốc chưa xác định
T81,biến chứng của thủ thuật không xếp loại ở nơi khác
T81.0,biến chứng chảy máu và tụ máu do thủ thuật không xếp loại ở nơi khác
Y51.5,chất ưu tiên trên cảm thụ adrenergic không xếp loại ở nơi khác
Y51.6,chất đối kháng cảm thụ adrenalin không xếp loại ở nơi khác
Y51.7,chất đối kháng cảm thụ không xếp loại nơi khác
Y51.8,chất hoạt động ở trung ương và chẹn hệ adrenergic không xếp loại chỗ khác
Y51.9,thuốc khác không rõ đặc điểm tác dụng trước hết lên hệ thần kinh tự động
Y52,thuốc tác dụng chủ yếu lên hệ tim mạch
Y52.0,glycosid kích thích tim và thuốc có tác dụng tương tự
Y52.1,thuốc chẹn kênh calci
Y52.2,các thuốc chống loạn nhịp khác không xếp loại chỗ khác
Y52.3,dãn mạch vành không xếp loại chỗ khác
Y52.4,chất ức chế men chuyển angiotensin
Y52.5,các thuốc chống tăng huyết áp khác không xếp loại chỗ khác
Y52.6,thuốc chống tăng mỡ máu và chống xơ động mạch
Y52.7,thuốc dãn mạch ngoại vi
Y52.8,thuốc chống dãn tĩnh mạch bao gồm chất gây xơ
Y52.9,thuốc khác và không rõ đặc điểm tác dụng trước tiên lên hệ tim mạch
Y53,thuốc tác dụng chủ yếu đến hệ tiêu hóa
Y53.0,chất đối kháng thụ thể histamln h2
Y53.1,thuốc kháng acid và kháng tiết toan dạ dày khác
Y53.2,kích thích nhuận tràng
Y53.3,nhuận tràng muối và thẩm thấu
Y53.4,nhuận tràng khác
Y53.5,thuốc lợi tiểu hóa
Y53.6,thuốc chống ỉa chảy
Y53.7,gây nôn
Y53.8,thuốc khác tác dụng trước hết lên hệ tiêu hóa
Y53.9,thuốc không rõ đặc điểm tác dụng trước hết lên hệ tiêu hóa
Y54,chất tác dụng trước hết lên cồn bằng nước và chuyển hóa chất khóang và acid uric
Y54.0,corticoiid chuyển hóa muối nước
Y54.1,thuốc đối kháng corticod chuyển hóa muối nước đối kháng aldosteron
Y54.2,ức chế carbonic anhydrase
Z00.0,khám sức khỏe tổng quát
Z00.1,khám trẻ em thường quy
Z00.2,khám thời kỳ phát triển nhanh của trẻ
Z00.3,khám tình trạng phát triển ở tuổi thanh thiếu niên
Z00.4,khám tâm thần tổng quát chưa được phân loại ở phần khác
Z00.5,khám cho người muốn hiến tạng và mô
Z00.6,khám để so sánh bình thường và đối chứng trong chương trình nghiên cứu lâm sàng
Z00.8,các loại khám tổng quát khác
Z01,khám đặc biệt và kiểm tra sức khỏe khác cho những người không có điều gì than phiền về sức khỏe hay đã có chẩn đoán trước
Z01.0,khám mắt và thị lực
Z01.1,khám tai và thính lực
Z01.2,khám răng
Z01.3,đo huyết áp
Z01.4,khám phụ khoa tổng quát thường kỳ
Z01.5,chẩn đoán về da và các test mẫn cảm
Z01.6,khám điện quang chưa được phân loại ở phần khác
Z01.7,xét nghiệm cận lâm sàng
Z01.8,các khám xét đặc biệt xác định khác
Z01.9,khám xét đặc biệt không đặc hiệu
Z02,khám vì lý do hành chính
Z02.0,khám để nhập trường học
Z02.1,khám trước khi nhận công tác
Z02.2,khám để nhập vào nơi cư trú
Z02.3,khám tuyển quân
Z02.4,khám để chứng nhận giấy phép lái xe
Z02.5,khám để tham gia thể thao
Z02.6,khám vì lý do bảo hiểm
Z02.7,cấp giấy chứng nhận y học
Z02.8,các khám khác vì lý do hành chính
S82.9,gãy xương cẳng chân phần chưa xác định
S82.90,gãy xương cẳng chân phần chưa xác định gãy kín
S82.91,gãy xương cẳng chân phần chưa xác định gãy hở
S83,sai khớp bong gân và căng cơ khớp và dây chằng đầu gối
S83.0,sai khớp xương bánh chè
S83.1,sai khớp gối
S83.2,vết rách sụn chêm hiện tại
S83.3,rách khớp sụn đầu gối hiện tại
S83.4,bong gân và căng cơ xương mác xương chày tổn thương phụ dây chằng khớp gối
S83.5,bong gân và căng cơ phía trước phía sau tổn thương dây chằng chéo khớp gối
S83.6,bong gân và căng cơ phần khác và chưa xác định khớp gối
Y54.3,dẫn xuất benzothladiazin
Y54.4,lợi tiểu vòng
Y54.5,thuốc lợi tiểu khác
Y54.6,chất cân bằng điện giải năng lượng và nước
Y54.7,chất ảnh hưởng calci hóa
Y54.8,chất ảnh hưởng tới chuyển hóa acid uric
Y54.9,muối khóang không xếp loại chỗ khác
Y55,chất tác dụng trước lên cơ trơn cơ vân và hệ hô hấp
Y55.0,thuốc trợ đẻ oxytocin
Y55.1,thuốc dãn cơ vân chất chẹn thần kinh cơ
Y55.2,thuốc khác không rõ đặc điểm tác dụng đầu tiên lên cơ
Y55.3,chống ho
Y55.4,gây long đờn
Y55.5,thuốc chống cảm cúm
Y55.6,chống hen không xếp chỗ khác
Y55.7,thuốc khác và không rõ đặc điểm tác dụng trước hết lên hệ hô hấp
Y56,tác dụng tại chỗ trước hết lên da và niêm mạc và thuốc mắt tai mũi họng răng
Y56.0,thuốc tại chỗ chống nấm chống nhiễm khuẩn và chống viêm không xếp loại chỗ khác
Y56.1,chống ngứa
Y56.2,gây se tại chỗ tẩy tại chỗ
Y56.3,làm mềm làm dịu bảo vệ
Y56.4,thuốc và chế phẩm phân giải keratin tạo keratin và chữa tóc khác
Y56.5,thuốc và chế phẩm nhãn khoa
Y56.6,thuốc và chế phẩm tai mũi họng
Y56.7,thuốc răng dùng tại chỗ
Y56.8,các thuốc tại chỗ khác
Y56.9,thuốc tại chỗ không rõ đặc điểm
Y57,thuốc và dược chất khác không đặc hiệu
Y57.0,giảm ngon miệng làm chán ăn
Y57.1,thuốc hướng mỡ
Y57.2,chất giải độc và chất chelating không xếp loại chỗ khác
U07.3,sử dụng mã u07 3 trong cấp cứu
U07.4,sử dụng mã u07 4 trong cấp cứu
U07.5,sử dụng mã u07 5 trong cấp cứu
U07.6,sử dụng mã u07 6 trong cấp cứu
U07.7,sử dụng mã u07 7 trong cấp cứu
U07.8,sử dụng mã u07 8 trong cấp cứu
U07.9,sử dụng mã u07 9 trong cấp cứu
U82,kháng kháng sinh họ betalactam
U82.0,kháng penicillin
U82.1,kháng methicillin
U82.8,kháng kháng sinh họ betalactam khác
S83.7,tổn thương đa cấu trúc khớp gối
S84,tổn thương dây thần kinh tại tầm cẳng chân
S84.0,tổn thương dây thần kinh xương chày tại tầm cẳng chân
S84.1,tổn thương dây thần kinh xương mác tại tầm cẳng chân
S84.2,tổn thương dây thần kinh xương cảm giác da tại tầm cẳng chân
S84.7,tổn thương đa dây thần kinh tại tầm cẳng chân
S84.8,tổn thương dây thần kinh khác tại tầm cẳng chân
S84.9,tổn thương dây thần kinh chưa xác định tầm cẳng chân
S85,tổn thương mạch máu tại tầm cẳng chân
S85.0,tổn thương động mạch kheo
S85.1,tổn thương phía trước phía sau động mạch xương chày
S85.2,tổn thương động mạch xương mác
S85.3,tổn thương tĩnh mạch hiển lớn tại tầm cẳng chân
S85.4,tổn thương tĩnh mạch hiển nhỏ tại tầm cẳng chân
S85.5,tổn thương tĩnh mạch kheo
S85.7,tổn thương đa mạch máu tại tầm cẳng chân
S85.8,tổn thương mạch máu khác tại tầm cẳng chân
S85.9,tổn thương mạch máu chưa xác định tại tầm cẳng chân
S86,tổn thương cơ bắp và gân tại tầm cẳng chân
S86.0,tổn thương gân gót achilles
S86.1,tổn thương cơ khác và gân nhóm cơ sau tại tầm cẳng chân
S86.2,tổn thương cơ khác và gân nhóm cơ trước tại tầm cẳng chân
S86.3,tổn thương cơ bắp và gân nhóm cơ trước tại tầm cẳng chân
S86.7,tổn thương đa cơ và gân tại tầm cẳng chân
S86.8,tổn thương cơ khác và gân tại tầm cẳng chân
S86.9,tổn thương cơ chưa xác định và gân tầm cẳng chân
S87,tổn thương dập nát tại cẳng chân
S87.0,tổn thương dập nát khớp gối
S87.8,tổn thương dập nát phần khác chưa xác định của cẳng chân
S88,chấn thương cắt cụt tầm khớp gối
S88.0,chấn thương cắt cụt tầm khớp gối
S88.1,chấn thương cắt cụt tầm giữa khớp gối và cổ chân
S88.9,chấn thương cắt cụt cẳng chân tầm chưa xác định
S89,tổn thương khác và chưa xác định tại cẳng chân
S89.7,đa tổn thương tại cẳng chân
S89.8,tổn thương xác định khác tại cẳng chân
S89.9,tổn thương chưa xác định tại cẳng chân
U82.9,kháng kháng sinh họ betalactam không đặc hiệu
U83,kháng các kháng sinh khác
U83.0,kháng vancomycin
U83.1,kháng các kháng sinh thuộc họ vancomycin khác
U83.2,kháng nhóm quinolon
U83.7,kháng đa kháng sinh
U83.8,kháng một loại kháng sinh xác định khác
U83.9,kháng kháng sinh không xác định
U84,kháng các thuốc kháng sinh khác
U84.0,kháng các thuốc diệt ký sinh trùng
U84.1,kháng các thuốc chống nấm
U84.2,kháng các thuốc diệt virus
U84.3,kháng các thuốc chống lao
U84.7,kháng đa thuốc kháng vi sinh vật
U84.8,kháng thuốc kháng vi sinh vật xác định khác
U84.9,kháng các thuốc kháng vi sinh vật không xác định
U85,kháng các thuốc kháng ung thư
S62.20,gãy xương đốt đầu bàn tay gãy kín
S62.21,gãy xương đốt đầu bàn tay gãy hở
S62.3,gãy xương đốt khác bàn tay
S62.30,gãy xương đốt khác bàn tay gãy kín
S62.31,gãy xương đốt khác bàn tay gãy hở
S62.4,gãy nhiều xương đốt bàn tay
S62.40,gãy nhiều xương đốt bàn tay gãy kín
S62.41,gãy nhiều xương đốt bàn tay gãy hở
S62.5,gãy xương ngón tay cái
S62.50,gãy xương ngón tay cái gãy kín
S62.51,gãy xương ngón tay cái gãy hở
S62.6,gãy xương các ngón tay khác
S62.60,gãy xương các ngón tay khác gãy kín
S62.61,gãy xương các ngón tay khác gãy hở
S62.7,gãy nhiều xương ngón tay
S62.70,gãy nhiều xương ngón tay gãy kín
S62.71,gãy nhiều xương ngón tay gãy hở
S62.8,gãy xương khác và phần chưa xác định cổ tay và bàn tay
S62.80,gãy xương khác và phần chưa xác định cổ tay và bàn tay gãy kín
S62.81,gãy xương khác và phần chưa xác định cổ tay và bàn tay gãy hở
S63,sai khớp bong gân và căng cơ của khớp và dây chằng tầm cổ tay và bàn tay
S63.0,sai khớp cổ tay
S63.1,sai khớp ngón tay
S63.2,sai khớp nhiều ngón tay
S90,tổn thương nông tại cổ chân và bàn chân
S90.0,đụng giập tại cổ chân
S90.1,đụng giập ngón chân không có tổn thương móng
S90.2,đụng giập ngón chân có tổn thương móng
S90.3,đụng giập phần khác và chưa xác định tại bàn chân
S90.7,đa tổn thương nông tại cổ chân và bàn chân
S90.8,tổn thương nông khác tại cổ chân và bàn chân
S90.9,tổn thương nông tại cổ chân và bàn chân chưa xác định
S91,vết thương hở tại cổ chân và bàn chân
S91.0,vết thương hở tại cổ chân
S91.1,vết thương hở tại ngón chân không có tổn thương móng
V19.2,người đi xe đạp không rõ đặc điểm bị thương khi va chạm với xe có động cơ khác không rõ đặc điểm trong tai nạn không phải xe cộ
V19.3,mọi người đạp xe bị thương trong tai nạn không phải xe cộ không rõ đặc điểm
V19.4,lái xe bị thương khi va chạm với xe có động cơ khác không rõ đặc điểm trong tai nạn giao thông
V19.5,người đi xe bị thương khi va chạm với xe có động cơ khác không rõ đặc điểm trong tai nạn giao thông
V19.6,người đạp xe không rõ đặc điểm bị thương khi va chạm với xe có động cơ khác không rõ đặc điểm trong tai nạn giao thông
Y76,dụng cụ sản phụ khoa kết hợp với tai biến
Y77,dụng cụ mắt kết hợp với tai biến
Y78,dụng cụ điện quang kết hợp với tai biến
Y79,dụng cụ chỉnh hình kết hợp với tai biến
Z23.4,tiêm chủng phòng tularemia
Z23.5,tiêm chủng phòng uốn ván đơn độc
Z23.6,tiêm chủng phòng bạch hầu đơn độc
Z23.7,tiêm chủng phòng ho gà đơn độc
Z23.8,tiêm chủng phòng bệnh nhiễm khuẩn đơn thuần khác
Z24,cần tiêm chủng phòng một số bệnh virus đơn thuần
Z24.0,tiêm chủng phòng bại liệt
Z24.1,tiêm chủng phòng viêm não virus do tiết túc mang
Z24.2,tiêm chủng phòng bệnh dại
Z24.3,tiêm chủng phòng sốt vàng da
Z24.4,tiêm chủng phòng sởi đơn độc
Z24.5,tiêm chủng phòng rubêôn đơn độc
Z24.6,tiêm chủng phòng viêm gan virus
S97.8,tổn thương dập nát tại phần khác của cổ chân và bàn chân
S98,chấn thương cắt cụt cổ chân và bàn chân
S98.0,chấn thương cắt cụt bàn chân tại tầm cổ chân
S98.1,chấn thương cắt cụt một ngón chân
S98.2,chấn thương cắt cụt hai hoặc nhiều ngón chân
S98.3,chấn thương cắt cụt phần khác của bàn chân
S98.4,chấn thương cắt cụt bàn chân tại tầm chưa xác định
S99,tổn thương khác và chưa xác định của cổ chân và bàn chân
S99.7,đa tổn thương tại cổ chân và bàn chân
S99.8,tổn thương khác đã xác định tại cổ chân và bàn chân
S99.9,tổn thương chưa xác định tại cổ chân và bàn chân
T00,tổn thương nông tác động nhiều vùng cơ thể
T00.0,tổn thương nông tác động đầu với cổ
T00.1,tổn thương nông tác động ngực với bụng lưng dưới và khung chậu
T00.2,tổn thương nông tác động nhiều vùng chi trên
T00.3,tổn thương nông tác động nhiều vùng chi dưới
T00.6,tổn thương nông tác động nhiều vùng chi trên và chi dưới
T00.8,tổn thương nông tác động kết hợp khác các vùng cơ thể
T00.9,nhiều tổn thương nông chưa xác định
T01,vết thương hở tác động nhiều vùng cơ thể
T01.0,vết thương hở tác động đầu với cổ
T01.1,vết thương hở tác động ngực với bụng dưới lưng và khung chậu
V62,người trên xtn bị thương khi va chạm với mô tô 2 hay 3 bánh
T01.2,vết thương hở ở tác động nhiều vùng của chi trên
T01.3,vết thương hở tác động của nhiều vùng của chi dưới
Y80,dụng cụ y tế kết hợp với tai biến
Y81,dụng cụ phẫu thuật chung và tạo hình kết hợp với tai biến
Y82,dụng cụ khác và không rõ đặc điểm kết hợp với tai biến
Y83,phẫu thuật và các thủ thuật ngoại khoa khác là nguyên nhân của phản ứng bất thường của bệnh nhân hay biến chứng sau này mà không được nêu ra là rủi ro tại thời điểm thực hiện
Y83.0,tai biến do phẫu thuật ngoại khoa với ghép toàn bộ 1 tạng phủ
Y83.1,tai biến do phẫu thuật ngoại khoa với ghép một dụng cụ nhân tạo
Y83.2,tai biến do phẫu thuật ngoại khoa với khâu nối bắc cầu hay ghép
Y83.3,tai biến do phẫu thuật ngoại khoa với thực hiện một lỗ thông ra ngoài
Y83.4,tai biến do phẫu thuật ngoại khoa tái tạo khác
Y83.5,tai biến do phẫu thuật ngoại khoa cắt cụt nhiều chi
Y83.6,tai biến do phẫu thuật ngoại khoa cắt bỏ cơ quan khác 1 phần toàn bộ
Y83.8,tai biến do phẫu thuật ngoại khoa khác
Y83.9,tai biến do phẫu thuật ngoại khoa chưa xác định chính xác
Y84,các thủ thuật nội khoa khác là nguyên nhân của phản ứng bất thường ở người bệnh hay biến chứng sau này mà không nêu rõ vấn đề rủi ro trong lúc tiến hành thủ thuật
Y84.0,tai biến do thông tim
Y84.1,tai biến do chạy thận nhân tạo
Y84.2,tai biến do thủ thuật điện quang điều trị tia xạ
Y84.3,tai biến do liệu pháp sốc
Y84.4,tai biến do hút dịch
Y84.5,tai biến do đặt ống thông dạ dày hay tá tràng
Y84.6,tai biến do thông tiểu thông đái
Y84.7,tai biến do lấy mẫu máu
Y84.8,tai biến do các thủ thuật nội khoa khác
Y84.9,tai biến do thủ thuật nội khoa không xác định khác
Y85,di chứng của tai nạn giao thông
Y85.0,di chứng của tai nạn xe động cơ
Y85.9,di chứng của các tại nạn giao thông khác và không rõ đặc điểm
Y86,di chứng của các tai nạn khác
Y87,dc của cố ý tự hại tấn công hay biến cố không rõ đặc điểm
Y87.0,di chứng của cố ý tự hại
Y87.1,di chứng của tấn công
Y87.2,di chứng của biến cố không xác định được
S75,tổn thương mạch máu tại tầm háng và đùi
S75.0,tổn thương động mạch đùi
S75.1,tổn thương tĩnh mạch đùi tại tầm háng và đùi
T01.6,vết thương hở với tác động của nhiều vùng chi trên và chi dưới
T01.8,vết thương hở tác động kết hợp khác của nhiều vùng cơ thể
T01.9,đa vết thương hở chưa xác định
T02,gãy xương tác động nhiều vùng cơ thể
T02.0,gãy xương tác động đầu với cổ
T02.1,gãy xương tác động ngực dưới lưng và khung chậu
T02.2,gãy xương tác động nhiều vùng của một chi trên
T02.3,gãy xương tác động nhiều vùng của một chi dưới
T02.4,gãy xương tác động nhiều vùng của cả hai chi trên
T02.5,gãy xương tác động nhiều vùng của cả hai chi dưới
